number_of_occurence, full_citation
18,Vv-a.288
18,Pv-a.220
18,DN-a.i.157
18,AN.i.286
18,DN.iii.278
18,AN.i.299
18,SN.i.224
18,Vism.262
18,AN.iv.393
18,Mil.91
18,MN.i.37
18,Ja.i.232
18,Vism.28
18,Vism.255
18,MN.i.39
18,SN.i.92
18,DN.iii.84
18,SN.i.93
18,Mil.249
17,Ja.i.109
17,Ja.i.191
17,SN.i.57
17,SN.ii.267
17,MN.i.450
17,Vin.ii.212
17,AN.ii.27
17,DN.i.80
17,MN.i.126
17,Ja.i.216
17,Ja.i.294
17,Vin.i.31
17,Vin.ii.210
17,Ja.vi.525
17,Vin.ii.156
17,SN.i.22
17,Mil.251
17,Iti.9
17,Mil.366
17,Vin.ii.192
17,SN.v.218
17,Vin.i.182
17,MN.i.253
17,Mil.169
17,Dhp-a.iii.171
17,Ja.iv.363
17,Mil.364
17,Vv-a.186
17,Ja.i.53
17,Iti.80
17,Vb.342
17,SN.iv.117
17,Pv-a.90
17,SN.ii.269
17,AN.i.163
17,AN.i.257
17,DN.iii.289
17,Ne.23
17,Thag-a.267
17,Ja.i.17
17,Ja.i.256
17,SN.ii.32
17,MN.i.445
17,Ja.ii.5
17,Vin.ii.105
17,Ja.iii.184
17,Iti.17
17,Ja.v.401
17,SN.i.200
17,MN.i.480
17,Cnd.680
17,DN-a.i.160
17,DN.ii.14
17,SN.i.87
17,Ja.v.38
17,AN.ii.240
17,Mhvs.20
17,Vin.i.254
17,MN.i.486
17,DN.i.138
17,Ja.i.19
17,DN.i.1
17,Vin.ii.88
17,DN.iii.146
17,Ja.iv.223
17,Pp.15
17,DN-a.i.103
17,DN.i.109
17,Ja.v.254
17,Ja.iv.471
17,Snp-a.549
17,DN.iii.191
17,Pp.62
17,Vb.426
17,SN.i.110
17,Vin.ii.108
17,Dhs-a.403
17,Iti.64
17,DN.iii.250
17,SN.ii.218
17,AN.i.266
17,Pv-a.242
17,SN.i.52
17,DN-a.i.273
17,AN.v.22
17,SN.iv.175
17,SN.iv.188
17,AN.i.25
17,Iti.122
17,Mil.93
17,Vv-a.116
17,Vin.ii.161
17,AN.iv.320
17,DN.i.75
17,AN.ii.54
17,Snp.61
17,Vism.264
17,SN.i.198
17,SN.i.175
17,Vin.ii.220
17,DN.iii.144
17,Dhp-a.i.392
17,DN.i.211
17,Snp.p.104
17,Ja.i.204
17,SN.ii.279
17,Mil.94
17,Vin.i.277
17,Ja.v.297
17,AN.i.229
17,Ja.i.108
17,Vin.ii.217
17,Vin.i.9
17,Vb.324
17,Ja.i.65
17,DN.iii.246
17,DN.iii.215
17,Ja.iv.391
17,SN.ii.28
17,AN.i.83
17,Ja.vi.224
17,SN.i.35
17,Ja.iv.118
17,MN.i.377
17,SN.iv.201
17,DN.iii.268
17,Vism.260
17,SN.iii.53
17,SN.ii.128
17,MN.i.124
17,Pv-a.111
17,SN.i.150
17,Vin.i.4
17,Ja.ii.363
17,Ja.vi.276
17,AN.ii.44
17,AN.iii.69
17,Ja.i.217
17,SN.v.343
17,Vism.261
17,Ja.i.143
17,Vv-a.18
17,AN.ii.200
